target,handicapped_infants,water_project_cost_sharing,adoption_budget_resolution,physician_fee_freeze,el_salvador_aid,religious_groups_in_schools,anti_satellite_test_ban,aid_to_nicaraguan_contras,mx_missile,immigration,synfuels_corporation_cutback,education_spending,superfund_right_to_sue,crime,duty_free_exports,administration_act_S_africa
1,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?
0,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n
0,n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y
0,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y
0,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
0,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y
1,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
1,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n
1,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?
0,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?
0,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?
1,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?
1,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?
0,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y
0,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
1,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
0,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y
0,y,y,y,n,n,n,y,y,y,n,n,n,?,?,y,y
0,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
1,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
0,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
1,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y
1,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
0,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
0,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?
0,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
0,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?
0,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
1,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
1,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
1,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?
1,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
1,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
0,y,y,y,n,n,?,y,y,y,y,n,n,n,n,y,?
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
0,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y
1,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
1,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?
1,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
0,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
1,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
0,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
0,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
0,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,?
0,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
0,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
1,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
0,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?
0,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y
1,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
1,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
1,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
0,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
1,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?
0,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
0,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y
0,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
0,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
0,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y
0,n,n,?,n,y,y,n,n,n,n,y,y,y,y,n,y
0,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
0,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
1,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n
0,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
0,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
0,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?
0,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n
0,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?
0,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
1,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?
0,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
0,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y
0,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
1,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
0,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
1,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
1,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
1,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y
0,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
0,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y
0,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y
0,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?
0,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?
0,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
1,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?
1,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
1,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
1,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
1,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
0,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y
0,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
0,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
1,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
1,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y
1,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
0,?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
0,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?
0,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
0,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
1,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
0,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
1,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
0,y,y,?,y,y,y,n,n,y,n,y,?,y,y,n,n
0,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
0,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
1,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n
1,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
0,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
0,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?
0,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
0,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
0,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
1,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
0,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?
0,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?
1,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
1,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
0,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?
0,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
0,y,n,y,n,n,n,?,y,y,?,n,n,n,n,y,?
1,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
0,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y
0,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
0,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
0,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
1,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
0,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y
0,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?
0,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
0,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?
0,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
0,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?
0,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y
0,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
1,y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?
0,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
1,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?
1,n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?
0,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
0,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y
1,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
0,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?
1,n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y
0,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?
0,y,y,n,n,n,n,y,y,?,n,y,n,n,n,y,?
0,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
0,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
0,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
0,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
1,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
0,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
1,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
1,y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y
0,n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y
0,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
0,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
1,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
